user_id,distinct_cards
3584,4
7281,4
7695,7
7725,5
9853,5
10241,4
11452,4
11750,31
13001,3
17929,6
18205,4
23204,4
27657,5
27939,3
30874,3
34548,6
42677,3
56877,4
63952,3
65935,3
67245,5
67519,6
68468,3
69588,3
71424,3
73385,3
76768,3
78262,10
79054,15
81594,3
83258,3
83722,3
89615,4
91637,22
92034,3
96025,10
99396,5
